"","closeness_centrality"
"25067398",580721.798699428
"5146186458",633249.33542502
"5146186459",628563.611933667
"4085778933",621891.457406394
"5201625548",620641.092186155
"5146186460",600829.422827354
"25067427",590422.438482205
"20955169",867494.144109835
"25505478",846301.708690726
"25161372",821669.534556454
"4085778923",772676.221660123
"4085778934",758447.369989263
"4085778918",748014.711058943
"25066684",744220.186735885
"1536948581",745570.380308813
"5104314256",638336.461032082
"25067469",626972.346550196
"25067470",616939.283775228
"5104314384",609887.247545109
"1186508405",593285.314625665
"25067473",574061.023512408
"25067479",594160.430029377
"25067461",658279.381793785
"5104314275",650661.162983482
"25067463",637009.175074785
"5104314353",603833.182877291
"25067727",601367.786772077
"1569343756",595315.28091052
"1569343909",585693.000773838
"25067558",583696.495648829
"25067636",565525.423601118
"25067670",608912.927828586
"5104314098",598537.907347674
"5104314325",595673.609592441
"1569343576",588791.533329629
"25161361",523275.949985582
"25067932",545931.472318259
"25067637",560490.064882884
"25067728",615590.255428375
"1569343633",618593.763701922
"1569312412",618979.499711127
"25067934",637277.19912633
"5141216765",619765.439271339
"25067935",616870.34016125
"2218344510",548523.999217984
"1497452191",563096.934810043
"2642857199",571013.335572379
"25068755",565281.821783703
"25248117",559699.92295548
"25068781",591291.865238028
"25068840",593316.704331593
"25068862",594164.410606573
"25248128",567800.407447516
"2793904931",579978.28955046
"25069046",617706.81808003
"2642857212",615882.505533667
"2387220934",612989.584964382
"25248118",611950.13849114
"25248119",611044.048954908
"25069071",646178.75412619
"25248120",645482.836988193
"4688513227",648699.552351031
"25069265",668221.622952968
"25248122",666526.322566254
"4688513226",668724.564623521
"25069168",705633.001149147
"25069197",720130.232654971
"25071142",673473.448396007
"2793892940",665647.02158844
"2793904918",654792.036600731
"4688513221",648489.245940058
"25071145",633251.179112332
"2793874569",634863.593915404
"2793874559",655405.652711314
"25071152",725128.37785369
"1211381857",703046.628935731
"1211381855",675566.001526944
"25071131",584203.697314364
"25071090",588369.138393854
"1569216656",592915.003992916
"1569216180",587525.056737616
"25071133",586501.266322331
"25070924",594025.236581892
"2793874555",610786.390632297
"2793874552",612889.037193828
"2793874546",616009.182563991
"25071136",621255.468893362
"1497452184",577766.936362337
"2793874583",571589.936294805
"25248129",558429.662271092
"109416",559255.855428166
"2642857171",568909.698397432
"24950061",559258.639492978
"25248130",551386.328767025
"24661419",547848.477708481
"2193050382",546852.002711307
"2195709210",530502.620374433
"25070474",566993.202786219
"3307352613",561457.880857138
"25248115",545374.393072161
"2538458889",508646.624458426
"25070085",514999.959517817
"25070019",524695.912513117
"25070030",538142.897455758
"25505685",723181.177982106
"1852996856",739279.517633326
"25505634",691011.02250628
"3519324759",697306.473569329
"25505606",741531.56101341
"107627",660815.197298287
"4072083344",672304.926181277
"4072083345",692112.647456452
"259252667",695253.926358424
"1312454045",708640.919996483
"107626",731715.098964351
"1312454055",734889.682721282
"25532464",767774.9305919
"1547013719",811178.076149523
"1547013589",828438.187596973
"1312453996",745546.173231535
"1312454087",748473.938267112
"3272712566",747958.26110274
"3272782433",746689.232176328
"25532332",742450.289190612
"5227220835",735616.461440586
"25544108",798833.532249975
"109788",870977.451765204
"1951616319",631442.109068795
"1951616284",640544.670735164
"1678226917",637473.941383003
"1951616270",635658.123571413
"1951616261",632494.522022553
"25532377",640650.84589011
"3373656553",673228.240821869
"24661966",719338.128799883
"1312453954",732824.053276585
"1312454100",742254.686706582
"1312454066",753187.612711155
"24662037",769229.838496013
"1312453966",784185.329492751
"1312453915",798509.967270723
"25544112",816783.803554129
"27481044",806790.511234869
"1566270409",794474.741106554
"692162556",781682.17396878
"30056280",769555.641222415
"3375451555",703747.697557941
"1678245237",702234.968503532
"27481040",763947.644737515
"692162517",752388.532526896
"1566269741",735302.525778708
"30057967",687893.164058002
"25248125",679517.829019131
"30078473",659827.902269822
"710474271",671063.781275285
"30078474",716610.758774411
"692162510",728979.425024439
"25071139",659517.062082384
"25066331",581354.38341273
"5090420968",576787.124366312
"18468958",583817.394498763
"1938819336",567982.477531257
"2387207418",566538.52287161
"2387207417",561417.362229751
"1938819335",556071.238017084
"2387210651",544914.630180527
"1951616276",609013.202675774
"1951616268",603176.060327118
"25067788",685495.891995699
"25067737",650512.291727142
"25067871",623752.557069776
"5141216745",593031.344065152
"25067883",590657.481965096
"5141216790",586929.69671415
"1569343523",582916.269771341
"1569343577",559261.133298836
"25161362",537365.317191906
"5104314096",611420.159229448
"2642857109",528416.726754647
"2642857103",524149.97891732
"25248112",520193.543215226
"2538458887",524846.660193022
"2642857183",526644.999877278
"25071137",635066.588980503
"2793874537",626009.971167223
"2793874540",623652.380507305
"25248127",591663.846478633
"1951616232",632954.680199075
"329983075",620029.717696342
"1951616263",615986.179518313
"25248123",699639.958239244
"213670986",664850.076872544
"1719422032",661612.90310239
"1312189047",653378.760852428
"1719422038",630901.252521484
"25161373",630664.211004737
"4085778919",624112.396184809
"5201625544",621111.001738296
"25161359",609044.032365243
"25473200",903141.542685877
"25632863",858434.567848995
"1215563890",844112.038021119
"25632864",834715.642767354
"25632865",827510.467624955
"316763600",789531.017241024
"316763586",782564.508980983
"25632859",773792.321409684
"316763584",758966.828874075
"1215563891",753091.943380714
"5046627645",747606.974121419
"5046627553",744449.130845431
"25632860",717788.547242083
"250550174",678223.723448763
"28800660",783044.814473525
"28800669",629157.120247344
"1684549812",599832.111316203
"316763513",562773.583686408
"28800662",675154.198293691
"1311962065",684320.403866312
"1311962079",673987.854068107
"1311961846",662254.812585137
"28800671",644334.888476536
"1782724125",603990.237313957
"316763548",607516.340602723
"1312264648",620658.817980511
"1312264577",629272.982762271
"794039687",636746.428812162
"1312264524",646716.617825561
"28800661",656839.655739482
"1311962043",684331.899413284
"1311961985",696066.961758638
"1311962151",720056.532633968
"373402354",756637.242555679
"109780",772011.998431979
"18469130",604986.184538755
"213672005",701751.361008902
"2642878644",723098.052721556
"244128953",847900.141990882
"1215563905",869477.49545559
"25632855",905783.861911133
"213668839",796961.739589949
"3787673643",715156.965479912
"250327037",851835.008248842
"991123236",809072.250243399
"250327100",792783.430355547
"1685276642",761974.052459806
"1762112726",734603.140587616
"1762112689",715608.746072671
"1762112692",680856.455671916
"1762112657",655936.775830062
"1312188692",674740.789046715
"2934268021",686547.06461033
"2934268022",705371.737452788
"2934268032",708807.059308164
"250549281",725865.754744837
"2934268024",729461.13248881
"2934268023",734402.759332213
"2934268039",736471.194397185
"2934268029",736951.276245454
"250549282",738082.365190767
"4453606953",733030.888687453
"2793905032",718706.60980746
"250549348",714720.517796689
"5218915617",686889.476511929
"5065949598",574235.936126001
"1951616281",581055.959259443
"255700677",714562.628182878
"259252666",697487.539778555
"1689388043",709794.974515593
"5046314073",643540.25410992
"5046314090",641073.945549576
"5046314077",613151.024917915
"5224630617",606170.727858935
"28800689",598269.435832045
"5046314072",649904.345556135
"5046314057",654444.294429166
"316763500",573935.340809694
"1718328280",571040.923253555
"5046005758",569447.990179946
"5046005745",587656.625475782
"5046005743",595757.644068438
"316763545",602892.329504531
"5046005737",604216.9165539
"1718328442",604934.34338196
"1718328445",605829.293320966
"5224549082",798044.447048261
"5224549085",796476.012318451
"5141216746",607862.604962309
"25067936",598499.4682087
"5141216782",596452.796867657
"5141216754",572401.018812337
"25161363",548700.597503608
"1312188886",502615.370861854
"2538458897",501687.882070548
"2538458904",477509.899975287
"1536948527",881519.540204723
"4866475726",858402.335222257
"368044165",838221.540707033
"25505629",827590.152584171
"1938819279",780980.243512624
"3704225378",752815.475861498
"1312453981",656552.287455769
"1311961936",547026.054582976
"1401926435",481370.742723576
"2387194143",479513.468050706
"2387194147",480797.752033839
"2387194141",481691.577348994
"2387194123",482422.177703681
"2387194149",497009.804210272
"2387207420",517205.724876852
"2387207423",529368.446154495
"1782728999",529554.325143068
"2387220933",605173.462592218
"3517719434",623728.145886484
"1312189001",653153.360986386
"3499544028",655836.626450581
"250325336",694091.689829279
"4726152854",754886.002427164
"1312188768",759632.515094704
"107586",769805.463762212
"4077599544",654915.006041378
"25248124",679429.799556172
"30056277",693664.157514726
"109415",711553.044609138
"3381130086",708672.568145929
"3381130087",706657.668629685
"3381130088",704088.466707567
"4688513237",699833.440158501
"4688513224",698240.223716415
"109411",964948.084904903
"1536948487",943906.409166967
"20626315",917712.538368589
"25505670",905322.175640581
"4866475730",884229.214048148
"20626312",879575.62798997
"109734",800302.930451892
"18468963",639206.539224995
"107641",629884.959186652
"3816097104",613079.490893658
"1938819301",683453.177228433
"4866651969",696313.618778641
"4866651962",701976.193911242
"18468966",705941.609552243
"1311962130",687391.466752491
"28800664",825446.657053685
"28800666",785013.286299317
"2990651920",780453.78507794
"2990651921",772728.57267952
"5041945508",763043.612316685
"5042032158",725472.346778719
"1718567007",688360.106539636
"1718566997",678045.219438693
"250549835",676294.745853339
"28800668",624851.833967072
"672061444",580470.390147947
"672061646",615203.876917216
"2406484479",564496.117916362
"1721713677",569940.525927203
"1312188714",589295.309799639
"18468961",563745.680128565
"4866623225",573631.553889577
