"","closeness_centrality"
"312718921",785423.290098402
"312718922",740226.144816003
"1725216302",733122.51587536
"312719434",746133.794240429
"3213448204",754249.222623811
"1492169354",772300.678385949
"1492169314",771325.534678568
"312719417",727976.528626877
"312719425",767757.990583571
"312719432",784590.400997246
"312719433",744856.031100955
"312719435",713356.620122054
"312719440",733998.743307494
"312719437",709926.163955444
"312719438",735097.701288128
"312719441",755928.285793429
"317535752",766355.364929482
"2384091370",771052.174293597
"317535755",816175.043685961
"317535753",824989.669843386
"1492410210",769701.137789902
"1492410187",771838.156232854
"3208518287",790770.415376661
"1985336815",980254.412009406
"1985336814",1020561.72971904
"1492169251",901541.549602837
"1492410161",789294.086798537
"1492410199",791569.017486997
"356215252",819679.519710697
"356215259",843096.74473954
"1725216536",864917.526619959
"331143092",1086486.07192977
"331165101",1121449.30223097
"343337630",1168006.0074977
"343337611",1176313.49001653
"331143091",1203333.9777781
"343337615",977619.867353122
"343337616",1010796.3197993
"343337617",1020913.04968198
"343337618",1037191.32742256
"343337619",1008425.5472372
"343337620",1061682.68545919
"343337624",1037341.10811028
"343337626",1076317.4807435
"343337629",1082237.13864121
"331163565",1123297.97092184
"1725216706",811420.620312943
"356215145",817408.064023896
"356215152",803666.861038227
"356215157",795201.035573957
"356215162",759196.857349495
"1725216611",839888.733115557
"356215176",870105.820983368
"356215189",923420.615791088
"1492410203",750065.502739827
"1492410178",753077.742196395
"4531065293",783356.042236848
"356215213",898513.555865625
"356215218",862617.209364157
"356215225",871385.492649193
"317536476",824102.662699041
"3208518285",875440.863605815
"366082639",864532.887348802
"1492175304",794854.491526042
"1492410146",797136.96709576
"370230599",1111057.85165707
"472236184",1074443.76000052
"472236203",929963.337294882
"370230657",882822.533757233
"778812528",674475.441535834
"3213448207",669295.859512944
"1492416118",667514.60976201
"30240834",663487.548552958
"778809794",678325.335950833
"446051211",851776.647211896
"312718307",782900.324035702
"4210161059",748481.755350967
"1833117899",680944.20772553
"52600145",674925.71703542
"3933082773",660100.478695798
"52600140",652464.877089782
"767737689",656889.888779349
"2299500155",729710.888461833
"1953969337",831177.940935449
"777771693",852744.182972193
"1725216487",751548.823907699
"446051209",859952.808772266
"471340997",1078934.61624236
"3208518277",1050932.02381563
"471340999",1023415.30642219
"4234925776",1017949.1978557
"471341004",1005437.09291762
"471341009",997290.742652982
"471341019",942213.105792704
"471341022",978398.048989851
"471341037",995976.90387105
"471341054",944138.32080165
"4234925771",953276.008457725
"4234925772",980101.01577214
"471341059",1029911.24770996
"472236188",970255.486967966
"472236190",983746.842973077
"472236191",995806.447829343
"472236193",942365.829151542
"1985549818",933087.864789279
"472236194",975168.80302003
"472236195",1010690.21012627
"472236185",1099595.84290594
"472236202",954970.218562687
"476241971",982532.394470815
"477075432",1067549.18272884
"477075433",1067549.18272884
"2005895260",1067543.66812678
"2005895261",1067539.29406944
"2005895262",1067537.40939775
"477075434",1067537.40939775
"477075435",1067537.26531408
"2005895259",1067537.26531408
"2005895258",1067543.31489095
"2005895257",1067547.6889483
"1985549838",913508.736723124
"477075436",969794.523406842
"487063800",872090.426800655
"35523921",791273.930081391
"488879337",945285.511838932
"488879338",971030.386146447
"576757230",739101.295240632
"53932622",755259.091466261
"283334264",735057.663818027
"53932731",692111.459172225
"777804655",801079.590672451
"777804656",804511.694881399
"777804660",803498.257427224
"677245570",962747.22432555
"1985549821",953028.026736098
"2005895254",927678.333465145
"2005895252",911683.976692344
"2005895251",895534.81105367
"1725216378",866705.362703226
"774546372",905839.080906117
"775933295",869577.580572841
"775933086",749139.143231332
"775926005",672733.095898358
"775946941",669265.837667671
"777832638",659279.425989831
"777832607",654660.091738175
"777832645",660632.347161565
"777832599",683387.938796394
"777834973",682753.344435115
"777834975",676075.250635783
"777834978",674076.109291842
"777834981",668457.198278714
"1283634764",667163.644804579
"777835311",664634.351165181
"1492416086",673256.414826565
"1492416108",676621.62298303
"1492416123",676930.321714662
"1492416121",677202.856958326
"1492416103",677434.414477748
"777832977",678609.583003392
"777833052",659223.104455054
"777833054",657514.972411304
"777833057",650473.614637848
"777833061",655154.160371212
"775933182",665719.148741472
"775933210",739002.345695816
"775933297",859129.104895579
"3933094364",892659.548779545
"774546373",902002.343206438
"777800877",785822.611596024
"777800293",843733.244629974
"52599838",876462.646816
"777801149",918135.635597456
"777801210",953484.662346524
"777801619",981991.280526619
"777710193",1004549.46286912
"777769006",930991.161473825
"3213448188",919897.441741888
"3213448191",856260.667867424
"3213448186",804618.483177925
"3213448184",768729.73967526
"777769011",752713.201441493
"777803391",816790.810229142
"777806543",812895.630256267
"777804079",805235.666136285
"2984287417",800773.829109326
"777800550",799834.915713489
"3218293559",840549.689988733
"3218293556",884315.442845751
"1833123396",913391.086374116
"767737648",663260.175357204
"777825195",672896.382590185
"777825626",702231.663916506
"3933082770",729571.671690179
"777814394",733586.570545303
"777813987",734341.191003154
"780909517",728515.380561311
"780910234",728154.068916194
"780910447",727375.701494245
"780909297",725771.175805669
"3213448189",876867.403200056
"2465501923",880023.517734658
"777696327",909910.900242337
"30943513",915003.151532108
"777759525",918356.539093154
"777759530",924101.473463699
"777826228",696661.866555304
"777825802",698253.595508614
"777826283",695272.667337629
"767737643",653478.571444141
"777829842",656656.162726557
"777829280",658005.150015327
"777827023",672615.568048709
"777831467",668504.609822767
"307350279",658678.271523719
"777829277",653420.082980202
"777829815",652054.957301088
"307350280",648881.397083009
"2383215085",649154.110594889
"777828239",649001.014622486
"3933082767",651021.869287905
"1725216623",650876.713923122
"3933082771",668134.549156077
"775942860",673002.750234762
"1492410213",709444.437142028
"1492410217",713067.6016304
"1492410156",715774.426577063
"1492410185",717201.502619214
"1492410162",719466.719950144
"2505811398",721593.259536274
"3933090548",781488.442667481
"1725216746",794829.594224878
"2023894041",858840.086199204
"3933090380",874368.568731763
"1985549836",881372.884650658
"30943325",891701.608376119
"319157881",974470.590617093
"3933097953",998052.341332459
"30287383",1006972.7014814
"30943326",1024727.9767173
"319157922",1065001.61512503
"767671454",1077652.27721239
"319157918",1086833.555765
"767671809",1101849.72928842
"3933097956",1126076.25310653
"34160610",1134845.38531601
"30943327",1147271.07703867
"1492416106",662923.777280088
"777834986",661994.670191684
"777841688",659499.73059594
"777841692",661490.565581895
"777841529",663903.847294747
"1691663874",662942.434278059
"777841870",662500.048395987
"777841873",666598.9728373
"777840082",675424.338677091
"777840087",679746.205953179
"777840090",681750.358224582
"777840093",683228.779635758
"777840095",685235.274545615
"777840097",687575.762514937
"777840100",689812.221062189
"1492416105",705363.716141277
"1492416110",710135.384818564
"1492416101",713714.736975207
"1492416107",719054.966798466
"1492416116",723083.534086512
"1492416109",726497.113066409
"777915430",796188.125060069
"777915433",827916.70476319
"1283618043",864042.985050189
"1283628974",867204.611333852
"1833120506",879795.176717917
"1833120526",888941.239339248
"1283628992",929842.19925704
"1283617975",984822.577570667
"1283617958",993483.487779039
"1281079253",1162380.35928879
"1281079250",1202461.81118343
"1283617999",1210160.16297337
"1281079274",1335039.21156337
"4029432532",1337320.76115793
"962965882",1347301.23138456
"962965884",1355821.92991646
"1895927305",1356261.78169468
"4029432536",1369470.11554842
"962965877",1404982.81608186
"26033785",716700.282354167
"777905271",699410.654628457
"777905272",694061.959889646
"777905273",688773.546075024
"777905274",684229.944682038
"30993509",679619.375824253
"210397146",893145.473325053
"1833120502",883602.882328435
"1283628999",870735.128565002
"777915031",843811.883539742
"777915033",821487.58155693
"777915035",775344.085645839
"777912959",739949.353179163
"777912966",727929.550159745
"777912969",717339.671974147
"777912972",708132.745789405
"777912975",696547.355362745
"778802602",677971.429721597
"778802605",688909.328698496
"778809779",684557.713376901
"778812520",676943.103194232
"2209328100",677820.959032945
"651992598",677816.825617414
"2209383387",675299.995575048
"4326586171",676797.537721897
"4326586170",678114.916389326
"778809786",736915.58824252
"778809788",710971.545284721
"778809790",698859.780170632
"778809792",688374.571711067
"4069715681",819517.521862968
"778814205",821426.77911009
"778812532",680323.677864644
"778812535",680322.943577139
"778809784",707236.204484271
"30240835",655253.333057469
"778826249",667176.013525791
"778826174",667448.111673551
"778826514",664670.047530425
"778827462",664658.859066931
"3213448196",667571.535812485
"778826175",667738.404040587
"778827304",667761.539611719
"778827306",667785.086381417
"778827308",667808.449854359
"778827310",667835.936890042
"778827312",667588.881680674
"778827314",665848.236496298
"778827735",664697.671253249
"778827733",664686.251195495
"778827731",664681.083966708
"778827730",664681.083966709
"777906400",681710.858635083
"26121441",719621.777194154
"2299094542",752172.989959481
"1283629001",792576.404333299
"663120884",827363.123111738
"663120967",855591.834189727
"1283617971",860194.678155705
"1283628978",863233.057802479
"1833120524",875929.255233168
"35523917",884979.114842525
"53133031",944534.613166859
"1283618016",989072.150903611
"387152919",1003304.12705605
"35524096",1018541.96113271
"35524350",1132653.51215596
"1994687827",1144931.83545714
"1283617955",1199220.12434345
"2384149915",1206084.14422551
"39686152",1239586.26916578
"4460254015",1319566.65075818
"1281079285",1331364.36947433
"4029432533",1332123.40793039
"111319919",1342273.48687928
"33317569",1352039.21683514
"871096402",750791.567578547
"364329179",707019.749879459
"871096403",710844.409367981
"871096410",676451.62350949
"52600150",683892.763848878
"245494068",683211.072552584
"3947038080",672692.339615728
"1953967173",673950.398718837
"446051204",860519.9160843
"1725216465",752001.870542457
"1865096363",1153359.87611083
"767670317",1140977.33725706
"767671059",1093000.265977
"2384091371",1070868.91734232
"3933097951",1037636.37488928
"767737811",1030411.93556169
"767737803",1012692.47268308
"3933090383",905340.830328169
"1985551132",896325.194853186
"1985549834",885934.266161888
"3208518299",827011.310790314
"3933090547",805139.579923379
"1725216770",800246.10063546
"1492410182",731117.493358534
"2505811399",726234.13668673
"1492410186",724112.79658802
"1492410173",721923.768477944
"1492410145",720473.458241867
"1492410149",717293.222887551
"3933082768",680635.313504141
"775942859",677439.524939948
"3933082775",658150.350704564
"1725216680",655304.210442312
"3213448180",653584.956137168
"777828117",653717.553545604
"777831779",653714.048877472
"2528833993",852913.691486347
"4326586143",898132.605596217
"2664366966",901766.364955799
"573255734",958887.3377656
"33318206",969248.293078115
"439233993",1095169.31860021
"33318246",1108744.11037536
"1292883553",1125032.5194374
"316174747",1127549.5872488
"4326586141",1137458.00157179
"316174755",1207694.36460468
"2905756455",1235185.96653099
"33318284",1242576.55766551
"33318249",1326712.45304008
"3374135478",1436725.26902904
"244569712",1444781.4536655
"457942863",1459098.7992287
"3221110913",1466121.89970158
"32193501",1514312.52589279
"4326586153",1539619.34898419
"316019838",1660619.83870003
"3374126180",1730069.46442116
"33236918",1743588.91852177
"1725216215",715922.667986941
"1492410150",846773.538244806
"3537280111",835063.453451419
"3537280109",773921.839993449
"1492410158",729041.297947358
"1492169328",977227.635698174
"1492169288",967919.494873207
"1492169268",955628.394175181
"1492169347",913175.46023672
"1492169302",882146.114449058
"1492169242",873841.007308533
"1492169297",775457.733417884
"1492169293",750232.809839447
"1492169360",752619.009986159
"1492169335",755913.810392253
"367849065",781277.055397001
"1492169298",771861.31997633
"1492169255",768367.634579755
"1492169253",761691.855658854
"1492169260",759440.677986655
"1492169257",757819.210905844
"1492169319",754757.527007695
"1492169358",751510.342086112
"1492169357",766954.438009919
"1492169333",759361.071831184
"1492169261",763248.262527868
"1492169247",781172.030593929
